X_id,Merged Injuries,DOS,TABLE_B_X_id,laser_color_merged
5d2de0d02834ae4512fd68a7,1,2/1/12,5d2de0d02834ae4512fd68a7,1
5d2de1612834ae4512fee47f,1,1/1/11,5d2de1612834ae4512fee47f,1
5d2de1612834ae4512fee47e,1,1/1/11,5d2de1612834ae4512fee47e,1
5d2de1612834ae4512fee43d,1,1/1/11,5d2de1612834ae4512fee43d,1
5d2de1612834ae4512fee421,1,1/1/11,5d2de1612834ae4512fee421,1
5d2de1612834ae4512fee47d,1,1/1/11,5d2de1612834ae4512fee47d,1
5d2de1612834ae4512fee420,1,1/1/11,5d2de1612834ae4512fee420,1
5d2de1612834ae4512fee441,1,1/1/11,5d2de1612834ae4512fee441,1
5d2de1612834ae4512fee445,1,1/1/11,5d2de1612834ae4512fee445,1
5d2de1612834ae4512fee440,1,1/1/11,5d2de1612834ae4512fee440,4
5d2de1612834ae4512fee480,1,1/1/11,5d2de1612834ae4512fee480,1
5d2de1612834ae4512fee448,1,1/1/11,5d2de1612834ae4512fee448,1
5d2de1622834ae4512fee848,1,1/6/11,5d2de1622834ae4512fee848,1
5d2de1632834ae4512fee9d7,1,1/11/11,5d2de1632834ae4512fee9d7,1
5d2de1632834ae4512feea92,1,1/12/11,5d2de1632834ae4512feea92,1
5d2de1642834ae4512feeb43,0,1/4/11,5d2de1642834ae4512feeb43,1
5d2de1632834ae4512fee93a,1,1/10/11,5d2de1632834ae4512fee93a,0
5d2de1632834ae4512fee993,1,1/10/11,5d2de1632834ae4512fee993,1
5d2de1622834ae4512fee873,1,1/9/11,5d2de1622834ae4512fee873,4
5d2de1632834ae4512feea2e,1,1/11/11,5d2de1632834ae4512feea2e,1
5d2de1632834ae4512fee971,1,1/10/11,5d2de1632834ae4512fee971,3
5d2de1632834ae4512fee972,1,1/10/11,5d2de1632834ae4512fee972,1
5d2de1642834ae4512feeac9,1,1/12/11,5d2de1642834ae4512feeac9,1
5d2de1642834ae4512feeb4d,0,1/3/11,5d2de1642834ae4512feeb4d,1
5d2de1632834ae4512fee9b6,1,1/11/11,5d2de1632834ae4512fee9b6,1
5d2de1642834ae4512feeb51,0,1/3/11,5d2de1642834ae4512feeb51,1
5d2de1642834ae4512feeac1,1,1/12/11,5d2de1642834ae4512feeac1,1
5d2de1632834ae4512fee902,1,1/9/11,5d2de1632834ae4512fee902,4
5d2de1642834ae4512feeb45,1,1/4/11,5d2de1642834ae4512feeb45,1
5d2de1632834ae4512fee968,1,1/10/11,5d2de1632834ae4512fee968,1
5d2de1632834ae4512fee8ac,1,1/8/11,5d2de1632834ae4512fee8ac,1
5d2de1642834ae4512feeaf9,1,1/4/11,5d2de1642834ae4512feeaf9,1
5d2de1642834ae4512feeca4,0,1/6/11,5d2de1642834ae4512feeca4,1
5d2de1642834ae4512feedd7,1,1/7/11,5d2de1642834ae4512feedd7,1
5d2de1652834ae4512feef36,1,1/19/11,5d2de1652834ae4512feef36,1
5d2de1652834ae4512feee39,1,1/7/11,5d2de1652834ae4512feee39,1
5d2de1652834ae4512feefb7,1,1/21/11,5d2de1652834ae4512feefb7,1
5d2de1652834ae4512fef00d,1,1/23/11,5d2de1652834ae4512fef00d,0
5d2de1642834ae4512feebe2,1,1/3/11,5d2de1642834ae4512feebe2,1
