X_id,DOS,Acft_Dir,Acft_Orb_Man_Patrol_Turn
5d2de0d02834ae4512fd68a7,2/1/12,E ,
5d2de1612834ae4512fee47f,1/1/11, NW,
5d2de1612834ae4512fee47e,1/1/11,,
5d2de1612834ae4512fee43d,1/1/11, W,
5d2de1612834ae4512fee421,1/1/11,,
5d2de1612834ae4512fee47d,1/1/11,,
5d2de1612834ae4512fee420,1/1/11, E,
5d2de1612834ae4512fee441,1/1/11, NW,
5d2de1612834ae4512fee445,1/1/11, SE,
5d2de1612834ae4512fee440,1/1/11, W,
5d2de1612834ae4512fee480,1/1/11, SE,
5d2de1612834ae4512fee448,1/1/11,,
5d2de1622834ae4512fee848,1/6/11,NE ,
5d2de1632834ae4512fee9d7,1/11/11, S,
5d2de1632834ae4512feea92,1/12/11,,
5d2de1642834ae4512feeb43,1/4/11,W ,
5d2de1632834ae4512fee93a,1/10/11,SE ,
5d2de1632834ae4512fee993,1/10/11,SW ,
5d2de1622834ae4512fee873,1/9/11,N ,
5d2de1632834ae4512feea2e,1/11/11, NW,
5d2de1632834ae4512fee971,1/10/11,NE ,
5d2de1632834ae4512fee972,1/10/11, S,
5d2de1642834ae4512feeac9,1/12/11, NE,
5d2de1642834ae4512feeb4d,1/3/11,,
5d2de1632834ae4512fee9b6,1/11/11, NW,
5d2de1642834ae4512feeb51,1/3/11,E ,
5d2de1642834ae4512feeac1,1/12/11, NE,
5d2de1632834ae4512fee902,1/9/11,N ,
5d2de1642834ae4512feeb45,1/4/11,S,
5d2de1632834ae4512fee968,1/10/11,NE ,
5d2de1632834ae4512fee8ac,1/8/11,SE ,
5d2de1642834ae4512feeaf9,1/4/11, W,
5d2de1642834ae4512feeca4,1/6/11,SW ,
5d2de1642834ae4512feedd7,1/7/11,S,
5d2de1652834ae4512feef36,1/19/11,SE ,
5d2de1652834ae4512feee39,1/7/11,E,
5d2de1652834ae4512feefb7,1/21/11,S,
5d2de1652834ae4512fef00d,1/23/11,N,
5d2de1642834ae4512feebe2,1/3/11, SW,
5d2de1642834ae4512feedd4,1/7/11,,
5d2de1652834ae4512feeecf,1/13/11, W,
5d2de1642834ae4512feee06,1/7/11,SE ,
5d2de1652834ae4512feeea6,1/20/11,NE ,
5d2de1642834ae4512feeccc,1/6/11,S,
5d2de1642834ae4512feed5e,1/8/11,W,
5d2de1652834ae4512feee26,1/5/11,,MANEUVER
5d2de1652834ae4512feee86,1/6/11,SW ,
5d2de1642834ae4512feeda9,1/7/11,W,
5d2de1642834ae4512feed27,1/4/11,E ,
5d2de1652834ae4512feee28,1/5/11, W,
5d2de1652834ae4512feeeb2,1/20/11,,
5d2de1652834ae4512feeeb6,1/13/11, SE,
5d2de1652834ae4512feeec3,1/15/11,W ,
