X_id,laser_color_merged
5d2de0d02834ae4512fd68a7,GREEN 
5d2de1612834ae4512fee47f,GREEN 
5d2de1612834ae4512fee47e,GREEN 
5d2de1612834ae4512fee43d,GREEN 
5d2de1612834ae4512fee421,GREEN 
5d2de1612834ae4512fee47d,GREEN 
5d2de1612834ae4512fee420,GREEN 
5d2de1612834ae4512fee441,GREEN 
5d2de1612834ae4512fee445,GREEN 
5d2de1612834ae4512fee440,WHITE 
5d2de1612834ae4512fee480,GREEN 
5d2de1612834ae4512fee448,GREEN 
5d2de1622834ae4512fee848,GREEN 
5d2de1632834ae4512fee9d7,GREEN 
5d2de1632834ae4512feea92,GREEN 
5d2de1642834ae4512feeb43,GREEN 
5d2de1632834ae4512fee93a,UNKNOWN
5d2de1632834ae4512fee993,GREEN 
5d2de1622834ae4512fee873,WHITE 
5d2de1632834ae4512feea2e,GREEN 
5d2de1632834ae4512fee971,RED 
5d2de1632834ae4512fee972,GREEN 
5d2de1642834ae4512feeac9,GREEN 
5d2de1642834ae4512feeb4d,GREEN 
5d2de1632834ae4512fee9b6,GREEN 
5d2de1642834ae4512feeb51,GREEN 
5d2de1642834ae4512feeac1,GREEN 
5d2de1632834ae4512fee902,WHITE 
5d2de1642834ae4512feeb45,GREEN 
5d2de1632834ae4512fee968,GREEN 
5d2de1632834ae4512fee8ac,GREEN 
5d2de1642834ae4512feeaf9,GREEN 
5d2de1642834ae4512feeca4,GREEN 
5d2de1642834ae4512feedd7,GREEN 
5d2de1652834ae4512feef36,GREEN 
5d2de1652834ae4512feee39,GREEN 
5d2de1652834ae4512feefb7,GREEN 
5d2de1652834ae4512fef00d,UNKNOWN
5d2de1642834ae4512feebe2,GREEN 
5d2de1642834ae4512feedd4,GREEN 
5d2de1652834ae4512feeecf,GREEN 
5d2de1642834ae4512feee06,GREEN 
5d2de1652834ae4512feeea6,GREEN 
5d2de1642834ae4512feeccc,GREEN 
5d2de1642834ae4512feed5e,GREEN 
5d2de1652834ae4512feee26,GREEN 
5d2de1652834ae4512feee86,GREEN 
5d2de1642834ae4512feeda9,GREEN 
5d2de1642834ae4512feed27,GREEN 
5d2de1652834ae4512feee28,GREEN 
5d2de1652834ae4512feeeb2,GREEN 
5d2de1652834ae4512feeeb6,GREEN 
5d2de1652834ae4512feeec3,GREEN 
5d2de1652834ae4512fef02d,GREEN 
5d2de1652834ae4512feefb4,GREEN 
5d2de1642834ae4512feeb9c,GREEN 
5d2de1642834ae4512feed0d,GREEN 
5d2de1642834ae4512feed09,GREEN 
5d2de1652834ae4512feee5f,GREEN 
5d2de1642834ae4512feed05,WHITE 
5d2de1652834ae4512feee89,GREEN 
5d2de1652834ae4512feeff7,GREEN 
5d2de1652834ae4512fef022,GREEN 
5d2de1642834ae4512feee02,GREEN 
5d2de1652834ae4512fef03d,GREEN 
5d2de1652834ae4512fef057,GREEN 
5d2de1652834ae4512fef051,GREEN 
5d2de1652834ae4512fef03c,GREEN 
5d2de1652834ae4512fef18f,GREEN 
5d2de1652834ae4512fef1a0,GREEN 
5d2de1662834ae4512fef23e,GREEN 
5d2de1652834ae4512fef151,GREEN 
5d2de1662834ae4512fef355,GREEN 
5d2de1662834ae4512fef402,GREEN 
5d2de1672834ae4512fef58a,GREEN 
5d2de1672834ae4512fef672,RED 
5d2de1662834ae4512fef23b,RED 
5d2de1662834ae4512fef2e1,GREEN 
