acType,Model,Aircraft Type Designator,Class,ICAO WTC,Climb,Svc Ceiling ft,,
C150 AVIONES COLOMBIA 150,150,C150,Landplane,Light,500,14000,,
"C150, AVIONES COLOMBIA, 150",150,C150,Landplane,Light,500,14000,,
"C150, CESSNA, 150",150,C150,Landplane,Light,500,14000,,
"C150, CESSNA, 150 Commuter",150 Commuter,C150,Landplane,Light,500,18300,,
"C150, CESSNA, Commuter",Commuter,C150,Landplane,Light,500,14000,,
C152,152,C152,Landplane,Light,600,14700,,
C152 AVIONES COLOMBIA 152,152,C152,Landplane,Light,600,14700,,
"C152, AVIONES COLOMBIA, 152",152,C152,Landplane,Light,600,14700,,
"C152, CESSNA, 152",152,C152,Landplane,Light,600,14700,,
"C152,152",152,C152,Landplane,Light,600,14700,,
"C160, TRANSALL, C-160",C-160,C160,Landplane,Medium,2000,27000,,
C162,162 Skycatcher,C162,Landplane,Light,900,27000,,
C162 CESSNA 162 SkyCatcher,162 Skycatcher,C162,Landplane,Light,900,27000,,
"C162, CESSNA, 162 SkyCatcher",162 Skycatcher,C162,Landplane,Light,900,27000,,
"C162, Cessna, LSA Sport",162 Skycatcher,C162,Landplane,Light,900,27000,,
C17,C-17 Globemaster 3,C17,Landplane,Heavy,4000,45000,,
C17 BOEING C-17 Globemaster 3,C-17 Globemaster 3,C17,Landplane,Heavy,4000,45000,,
"C17, BOEING, C-17 Globemaster 3",C-17 Globemaster 3,C17,Landplane,Heavy,4000,45000,,
"C17, BOEING, Globemaster 3",C-17 Globemaster 3,C17,Landplane,Heavy,4000,45000,,
"C17,C-17 Globemaster 3",C-17 Globemaster 3,C17,Landplane,Heavy,4000,45000,,
"C170, CESSNA, 170",170,C170,Landplane,Light,600,14700,,
C171,172,C172,Landplane,Light,600,13500,,
c172,172,C172,Landplane,Light,600,13500,,
C172 CESSNA 172,172,C172,Landplane,Light,600,13500,,
"C172, AVIONES COLOMBIA, 172",172,C172,Landplane,Light,600,13500,,
"C172, CESSNA, 172",172,C172,Landplane,Light,600,13500,,
"C172, CESSNA, 172 Cutlass",172 Cutlass,C172,Landplane,Light,600,13500,,
"C172, CESSNA, 172 Skyhawk",172 Skyhawk,C172,Landplane,Light,600,13500,,
"C172, CESSNA, Mescalero",Mescalero,C172,Landplane,Light,600,13500,,
"C172, CESSNA, P172 Skyhawk Powermatic",P172 Skyhawk Powermatic,C172,Landplane,Light,600,13500,,
"C172, CESSNA, R172",R172,C172,Landplane,Light,600,13500,,
"C172, CESSNA, R172 Hawk XP",R172 Hawk XP,C172,Landplane,Light,600,13500,,
"C172,172",172,C172,Landplane,Light,600,13500,,
C175,175,C175,Landplane,Light,700,15500,,
"C175, CESSNA, 175",175,C175,Landplane,Light,700,15500,,
C177,177,C177,Landplane,Light,700,14600,,
"C177, CESSNA, 177",177,C177,Landplane,Light,700,14600,,
"C177, CESSNA, 177 Cardinal",177 Cardinal,C177,Landplane,Light,700,14600,,
"C177, CESSNA, Cardinal",Cardinal,C177,Landplane,Light,700,14600,,
C180,180,C180,Landplane,Light,900,15000,,
"C180, CESSNA, 180",180,C180,Landplane,Light,900,15000,,
C1812,182,C182,Landplane,Light,700,18100,,
C182,182,C182,Landplane,Light,700,18100,,
C182 Cessna 182,182,C182,Landplane,Light,700,18100,,
"C182, AVIONES COLOMBIA, 182",182,C182,Landplane,Light,700,18100,,
"C182, CESSNA, 182",182,C182,Landplane,Light,700,18100,,
"C182, CESSNA, 182 Skylane",Skylane,C182,Landplane,Light,700,18100,,
"C182, WREN, 460",460,C182,Landplane,Light,700,18100,,
"C182,182",182,C182,Landplane,Light,700,18100,,
C185,185,C185,Landplane,Light,1300,17900,,
"C185, AVIONES COLOMBIA, 185",185,C185,Landplane,Light,1300,17900,,
"C185, CESSNA, 185 Skywagon",185 Skywagon,C185,Landplane,Light,1300,17900,,
"C185, CESSNA, A185 AgCarryall",A185 AgCarryall,C185,Landplane,Light,1300,17900,,
"C205, CESSNA, 205",205,C205,Landplane,Light,800,,,
C206,206 Stationair,C206,Landplane,Light,800,17900,,
C206 CESSNA 206 Stationair,206 Stationair,C206,Landplane,Light,800,17900,,
"C206, AVIONES COLOMBIA, 206",206,C206,Landplane,Light,800,17900,,
"C206, CESSNA, 206 Stationair",206 Stationair,C206,Landplane,Light,800,17900,,
"C206, CESSNA, P206 Super Skylane",P206 Super Skylane,C206,Landplane,Light,800,17900,,
"C206, CESSNA, Skywagon 206",Skywagon 206,C206,Landplane,Light,800,17900,,
"C206, CESSNA, T206 Turbo Stationair",U206 Stationair 6,C206,Landplane,Light,800,17900,,
"C206, CESSNA, TU206 Turbo Stationair 6",U206 Stationair 6,C206,Landplane,Light,800,17900,,
C207,207 Skywagon 207,C207,Landplane,Light,800,18000,,
"C207, CESSNA, 207 Skywagon 207",207 Skywagon 207,C207,Landplane,Light,800,18000,,
C208,208 Cargomaster,C208,Landplane,Light,1000,25000,,
C208 CESSNA 208 Cargomaster,208 Cargomaster,C208,Landplane,Light,1000,25000,,
"C208, CESSNA, 208 Caravan 1",208 Caravan 1,C208,Landplane,Light,1000,25000,,
"C208, CESSNA, 208 Cargomaster",208 Cargomaster,C208,Landplane,Light,1000,25000,,
"C208, CESSNA, 208 Grand Caravan",208 Grand Caravan,C208,Landplane,Light,1000,25000,,
"C208, CESSNA, 208 Super Cargomaster",208 Super Cargomaster,C208,Landplane,Light,1000,25000,,
"C208, CESSNA, Cargomaster",Cargomaster,C208,Landplane,Light,1000,25000,,
C210,210,C210,Landplane,Light,700,27000,,
C210 AVIONES COLOMBIA 210,210,C210,Landplane,Light,700,27000,,
"C210, AVIONES COLOMBIA, 210",210,C210,Landplane,Light,700,27000,,
"C210, CESSNA, 210",210,C210,Landplane,Light,700,27000,,
"C210, CESSNA, 210 Centurion",210 Centurion,C210,Landplane,Light,700,27000,,
"C212, CASA, Aviocar",Aviocar,C212,Landplane,Medium,1300,26000,,
C240 CESSNA T240,Corvalis TTx,C240,Landplane,Light,1100,25000,,
"C240, CESSNA, T240",Corvalis TTx,C240,Landplane,Light,1100,25000,,
C25A,525A Citation CJ2,C25A,Landplane,Light,3100,45000,,
"C25A, CESSNA, 525A Citation CJ2",525A Citation CJ2,C25A,Landplane,Light,3100,45000,,
C25B,525B Citation CJ3,C25B,Landplane,Light,3100,45000,,
"C25B, CESSNA, 525B Citation CJ3",525B Citation CJ3,C25B,Landplane,Light,3100,45000,,
"C25B, CESSNA, Citation CJ3",Citation CJ3,C25B,Landplane,Light,3100,45000,,
C25C,525C Citation CJ4,C25C,Landplane,Medium,3100,45000,,
"C25C, CESSNA, 525C Citation CJ4",525C Citation CJ4,C25C,Landplane,Medium,3100,45000,,
"C25C, CESSNA, Citation CJ4",Citation CJ4,C25C,Landplane,Medium,3100,45000,,
C25F,525C Citation CJ4,C25C,Landplane,Medium,3100,45000,,
C25M,525 Citation M2,C25M,Landplane,Light,3000,41000,,
"C270, CAUDRON, C-270 Luciole",C-270 Luciole,C270,Landplane,Light,800,13100,,
C27J,C-27J Spartan,C27J,Landplane,Medium,2100,30000,,
"C27J, ALENIA, C-27J Spartan",C-27J Spartan,C27J,Landplane,Medium,2100,30000,,
C30J,C-130J Hercules,C30J,Landplane,Medium,1800,31000,,
"C30J, LOCKHEED MARTIN, C-130J Hercules",C-130J Hercules,C30J,Landplane,Medium,1800,31000,,
"C30J, LOCKHEED MARTIN, EC-130J Hercules",EC-130J Hercules,C30J,Landplane,Medium,1800,31000,,
"C30J,C-130J Hercules",C-130J Hercules,C30J,Landplane,Medium,1800,31000,,
C310,310,C310,Landplane,Light,1400,20000,,
C310 AVIONES COLOMBIA 310,310,C310,Landplane,Light,1400,20000,,
"C310, AVIONES COLOMBIA, 310",310,C310,Landplane,Light,1400,20000,,
"C310, CESSNA, 310",310,C310,Landplane,Light,1400,20000,,
C335,335,C335,Landplane,Light,2200,30000,,
C337,337,C337,Landplane,Light,1000,25000,,
"C337, AVIONES COLOMBIA, 337",337,C337,Landplane,Light,1000,25000,,
"C337, CESSNA, 337 Super Skymaster",337 Super Skymaster,C337,Landplane,Light,1000,25000,,
"C340, AVIONES COLOMBIA, 340",340,C340,Landplane,Light,1300,30000,,
"C340, CESSNA, 340",340,C340,Landplane,Light,1300,30000,,
"C401, Cessna, Cessna",401,C402,Landplane,Light,1200,30000,,
C402,402,C402,Landplane,Light,1200,30000,,
"C402, AVIONES COLOMBIA, 402",402,C402,Landplane,Light,1200,30000,,
"C402, CESSNA, 401",401,C402,Landplane,Light,1200,30000,,
"C402, CESSNA, 402",402,C402,Landplane,Light,1200,30000,,
"C404, CESSNA, 404 Titan",404 Titan,C404,Landplane,Light,1300,26000,,
C414,414,C414,Landplane,Light,1500,30800,,
"C414, AVIONES COLOMBIA, 414",414,C414,Landplane,Light,1500,30800,,
"C414, CESSNA, 414",414,C414,Landplane,Light,1500,30800,,
C421,421,C421,Landplane,Light,1600,30200,,
"C421, CESSNA, 421",421,C421,Landplane,Light,1600,30200,,
"C421, CESSNA, 421 Golden Eagle",421 Golden Eagle,C421,Landplane,Light,1600,30200,,
C425,425 Conquest 1,C425,Landplane,Light,1500,33400,,
"C425, CESSNA, 425 Conquest 1",425 Conquest 1,C425,Landplane,Light,1500,33400,,
C441,441 Conquest,C441,Landplane,Light,1900,35000,,
"C441, CESSNA, 441 Conquest",441 Conquest,C441,Landplane,Light,1900,35000,,
C5,C-5 Galaxy,C5,Landplane,Heavy,1700,41000,,
"C5, LOCKHEED, C-5 Galaxy",C-5 Galaxy,C5,Landplane,Heavy,1700,41000,,
"C5, LOCKHEED, Galaxy",C-5 Galaxy,C5,Landplane,Heavy,1700,41000,,
"C500, CESSNA, 500 Citation",500 Citation,C500,Landplane,Light,2200,41000,,
C501,501 Citation 1SP,C501,Landplane,Light,2200,41000,,
"C501, CESSNA, 501 Citation 1SP",501 Citation 1SP,C501,Landplane,Light,2200,41000,,
C510,510 Citation Mustang,C510,Landplane,Light,2400,41000,,
"C510, CESSNA, 510 Citation Mustang",510 Citation Mustang,C510,Landplane,Light,2400,41000,,
C525,525 Citation CJ1,C525,Landplane,Light,3000,41000,,
C525 CESSNA 525 Citation CJ1,525 Citation CJ1,C525,Landplane,Light,3000,41000,,
"C525, CESSNA, 525 Citation CJ1",525 Citation CJ1,C525,Landplane,Light,3000,41000,,
"C525,525 Citation CJ1",525 Citation CJ1,C525,Landplane,Light,3000,41000,,
C26,CitationJet (526),C526,Landplane,Light,3000,35000,,
"C526, CESSNA, 526 CitationJet",526 CitationJet,C526,Landplane,Light,3000,35000,,
C550,550 Citation 2,C550,Landplane,Light,2600,45000,,
C550 CESSNA 552,550 Citation 2,C550,Landplane,Light,2600,45000,,
"C550, CESSNA, 550 Citation 2",550 Citation 2,C550,Landplane,Light,2600,45000,,
"C550, CESSNA, 552",550 Citation 2,C550,Landplane,Light,2600,45000,,
"C550, CESSNA, Citation 2",550 Citation 2,C550,Landplane,Light,2600,45000,,
"C550, CESSNA, Citation Bravo",550 Citation 2,C550,Landplane,Light,2600,45000,,
"C551, CESSNA, 551 Citation 2SP",551 Citation 2SP,C551,Landplane,Light,2400,43000,,
C55B,550B Citation Bravo,C55B,Landplane,Light,2600,45000,,
C560,560 Citation 5,C560,Landplane,Medium,3800,45000,,
C560 CESSNA 560 Citation 5,560 Citation 5,C560,Landplane,Medium,3800,45000,,
"C560, CESSNA, 560 Citation 5",560 Citation 5,C560,Landplane,Medium,3800,45000,,
"C560,560 Citation 5",560 Citation 5,C560,Landplane,Medium,3800,45000,,
C56X,560XL Citation Excel,C56X,Landplane,Medium,3000,45000,,
C56X CESSNA 560XL Citation Excel,560XL Citation Excel,C56X,Landplane,Medium,3000,45000,,
"C56X, CESSNA, 560XL Citation Excel",560XL Citation Excel,C56X,Landplane,Medium,3000,45000,,
"C56X, CESSNA, Citation Excel",Citation Excel,C56X,Landplane,Medium,3000,45000,,
"C56X, CESSNA, Citation XLS",Citation XLS,C56X,Landplane,Medium,3000,45000,,
C5M,C-5M Super Galaxy,C5M,Landplane,Heavy,1700,41000,,
C650,650 Citation 3,C650,Landplane,Medium,3000,51000,,
"C650, CESSNA, 650 Citation 3",650 Citation 3,C650,Landplane,Medium,3000,51000,,
"C650, CESSNA, 650 Citation 7",650 Citation 7,C650,Landplane,Medium,3000,51000,,
"C650, CESSNA, Citation 7",650 Citation 7,C650,Landplane,Medium,3000,51000,,
C680,680 Citation Sovereign,C680,Landplane,Medium,3300,47000,,
C680 CESSNA 680 Citation Sovereign,680 Citation Sovereign,C680,Landplane,Medium,3300,47000,,
"C680, CESSNA, 680 Citation Sovereign",680 Citation Sovereign,C680,Landplane,Medium,3300,47000,,
"C680, CESSNA, Citation Sovereign",Citation Sovereign,C680,Landplane,Medium,3300,47000,,
C68A,Citation Latitude,C68A,Landplane,Medium,2300,45000,,
"C68A, CESSNA, CITATION LATITUDE",Citation Latitude,C68A,Landplane,Medium,2300,45000,,
"C68A,CITATION LATITUDE",Citation Latitude,C68A,Landplane,Medium,2300,45000,,
C700,700 Citation Longitude,C700,Landplane,Medium,2300,45000,,
C72R,172RG,C72R,Landplane,Light,700,26900,,
"C72R, AVIONES COLOMBIA, 172RG",172RG,C72R,Landplane,Light,700,26900,,
"C72R, CESSNA, 172RG Cutlass RG",172RG Cutlass RG,C72R,Landplane,Light,700,26900,,
C750,750 Citation 10,C750,Landplane,Medium,2900,51000,,
C750 CESSNA Citation 10,750 Citation 10,C750,Landplane,Medium,2900,51000,,
"C750, CESSNA, 750 Citation 10",750 Citation 10,C750,Landplane,Medium,2900,51000,,
"C750, CESSNA, Citation 10",750 Citation 10,C750,Landplane,Medium,2900,51000,,
"C77R, AVIONES COLOMBIA, 177RG",177RG,C77R,Landplane,Light,700,14600,,
"C77R, CESSNA, 177RG Cardinal RG",177RG Cardinal RG,C77R,Landplane,Light,700,14600,,
C82R,R182,C82R,Landplane,Light,700,18100,,
"C82R, AVIONES COLOMBIA, R182",R182,C82R,Landplane,Light,700,18100,,
"C82R, CESSNA, R182 Skylane RG",R182 Skylane RG,C82R,Landplane,Light,700,18100,,
C82T,TR182 Turbo Skylane RG,C82T,Landplane,Light,800,20000,,
"CH20, HEINTZ, CH-200 ZÃ©nith",CH-200 Zénith,CH20,Landplane,Light,600,15100,,
"CH20, ZENAIR, ZÃ©nith (CH-200)",CH-200 Zénith,CH20,Landplane,Light,600,15100,,
"CH2T, AMD, Alarus",Alarus,CH2T,Landplane,Light,700,12000,,
"CH2T, AMD, CH-2000 ZÃ©nith",CH-2000 Zénith,CH2T,Landplane,Light,700,12000,,
"CH2T, ZENAIR, CH-2000 ZÃ©nith",CH-2000 Zénith,CH2T,Landplane,Light,700,12000,,
"CH50, ZENAIR, Mini ZÃ©nith",CH-50 Mini Zénith,CH50,Landplane,Light,,,,
CH60,CH-601 Zodiac,CH60,Landplane,Light,900,16000,,
"CH60, AMD, CH-601 Zodiac",CH-601 Zodiac,CH60,Landplane,Light,900,16000,,
CH7,Kompress,CH7,Helicopter,Light,900,16400,,
"CH7, HELI-SPORT, Kompress",Kompress,CH7,Helicopter,Light,900,16400,,
CH7A AERONCA 7AC Champion,7AC Champion,CH7A,Landplane,Light,600,11500,,
"CH7A, AERONCA, 7AC Champion",7AC Champion,CH7A,Landplane,Light,600,11500,,
CH7B,7GCAA Citabria Adventure,CH7B,Landplane,Light,900,15500,,
CH7B AMERICAN CHAMPION 7GCAA Citabria Adventure,7GCAA Citabria Adventure,CH7B,Landplane,Light,900,15500,,
"CH7B, AMERICAN CHAMPION, 7GCAA Citabria Adventure",7GCAA Citabria Adventure,CH7B,Landplane,Light,900,15500,,
CH47,Chinook,CHIN,Landplane,Light,600,15000,,
"CH47, BOEING, CHINOOK",Chinook,CHIN,Landplane,Light,600,15000,,
"CHIN, ASAP, Chinook",Chinook,CHIN,Landplane,Light,600,15000,,
CL30,BD-100 Challenger 300,CL30,Landplane,Medium,2900,45000,,
"CL30, BOMBARDIER, BD-100 Challenger 300",BD-100 Challenger 300,CL30,Landplane,Medium,2900,45000,,
"CL30, BOMBARDIER, Challenger 300",Challenger 300,CL30,Landplane,Medium,2900,45000,,
"CL30,BD-100 Challenger 300",BD-100 Challenger 300,CL30,Landplane,Medium,2900,45000,,
CL35,Challenger 350,CL35,Landplane,Medium,,45000,,
CL35 Bombardier Challenger 300,Challenger 350,CL35,Landplane,Medium,,45000,,
"CL35, Bombardier, Challenger 300",Challenger 350,CL35,Landplane,Medium,,45000,,
CL36,BD-100 Challenger 350,CL35,Landplane,Medium,,45000,,
CL60,CC-144 Challenger 600,CL60,Landplane,Medium,2500,41000,,
CL60 CANADAIR CC-144 Challenger 600,CC-144 Challenger 600,CL60,Landplane,Medium,2500,41000,,
"CL60, CANADAIR, C-143 Challenger 604",C-143 Challenger 604,CL60,Landplane,Medium,2500,41000,,
"CL60, CANADAIR, CC-144 Challenger 600",CC-144 Challenger 600,CL60,Landplane,Medium,2500,41000,,
"CL60, CANADAIR, Challenger 600",Challenger 600,CL60,Landplane,Medium,2500,41000,,
"CL60, CANADAIR, Challenger 601",Challenger 601,CL60,Landplane,Medium,2500,41000,,
"CL60, CANADAIR, CL-600 Challenger 601",CL-600 Challenger 601,CL60,Landplane,Medium,2500,41000,,
"CL60,CC-144 Challenger 600",CC-144 Challenger 600,CL60,Landplane,Medium,2500,41000,,
CN35,CN-235,CN35,Landplane,Medium,600,25000,,
"CN35, AIRTECH (2), CN-235",CN-235,CN35,Landplane,Medium,600,25000,,
"CN35, AIRTECH (2), CN-235 Persuader",CN-235 Persuader,CN35,Landplane,Medium,600,25000,,
"CN35, CASA, HC-144",HC-144 Ocean Sentry,CN35,Landplane,Medium,600,25000,,
AC350,350,COL3,Landplane,Light,1100,18000,,
COL3,350,COL3,Landplane,Light,1100,18000,,
"COL3, CESSNA, 350",350,COL3,Landplane,Light,1100,18000,,
COL4,400,COL4,Landplane,Light,1100,25000,,
"COL4, CESSNA, 400",400,COL4,Landplane,Light,1100,25000,,
"COL4, CESSNA, LC-41 400",LC-41,COL4,Landplane,Light,1100,25000,,
"COL4, LANCAIR, Columbia 400",Columbia 400,COL4,Landplane,Light,1100,25000,,
"COUR, HELIO, Courier",Courier,COUR,Landplane,Light,850,20500,,
"COUR, HELIO, H-250 Courier 2",H-250 Courier 2,COUR,Landplane,Light,850,20500,,
COY2,S-6 Coyote 2,COY2,Landplane,Light,1000,16000,,
"COY2, RANS, S-6 Coyote 2",S-6 Coyote 2,COY2,Landplane,Light,1000,16000,,
"COZY,AeroCanard",AeroCanard,COZY,Landplane,Light,1500,25000,,
CP30 BINDER CP-301 Smaragd,CP-301 Smaragd,CP30,Landplane,Light,700,13100,,
crj,CL-600 Regional Jet CRJ-100,CRJ1,Landplane,Medium,3000,41000,,
CRJ1,CL-600 Regional Jet CRJ-100,CRJ1,Landplane,Medium,3000,41000,,
"CRJ1, CANADAIR, CL-600 Regional Jet CRJ-100",CL-600 Regional Jet CRJ-100,CRJ1,Landplane,Medium,3000,41000,,
"CRJ1, CANADAIR, Regional Jet RJ-100",CL-600 Regional Jet RJ-100,CRJ1,Landplane,Medium,3000,41000,,
crj2,Challenger 800,CRJ2,Landplane,Medium,3000,41000,,
CRJ2 CANADAIR CL-600 Challenger 800,CL-600 Challenger 800,CRJ2,Landplane,Medium,3000,41000,,
"CRJ2, CANADAIR, Challenger 800",Challenger 800,CRJ2,Landplane,Medium,3000,41000,,
"CRJ2, CANADAIR, Challenger 850",CL-600 Challenger 850,CRJ2,Landplane,Medium,3000,41000,,
"CRJ2, CANADAIR, CL-600 Challenger 800",CL-600 Challenger 800,CRJ2,Landplane,Medium,3000,41000,,
"CRJ2, CANADAIR, CL-600 Regional Jet CRJ-200",CL-600 Regional Jet CRJ-200,CRJ2,Landplane,Medium,3000,41000,,
"CRJ2, CANADAIR, CL-600 Special Edition",CL-600 Special Edition,CRJ2,Landplane,Medium,3000,41000,,
"CRJ2,CL-600 Challenger 800",Challenger 800,CRJ2,Landplane,Medium,3000,41000,,
CRJ7,CL-600 Regional Jet CRJ-700,CRJ7,Landplane,Medium,3000,41000,,
CRJ7 CANADAIR CL-600 Regional Jet CRJ-700,CL-600 Regional Jet CRJ-700,CRJ7,Landplane,Medium,3000,41000,,
"CRJ7, CANADAIR, Challenger 870",CL-600 Challenger 870,CRJ7,Landplane,Medium,3000,41000,,
"CRJ7, CANADAIR, CL-600 Regional Jet CRJ-700",CL-600 Regional Jet CRJ-700,CRJ7,Landplane,Medium,3000,41000,,
"CRJ7, CANADAIR, CL-600 Regional Jet CRJ-701",CL-600 Regional Jet CRJ-701,CRJ7,Landplane,Medium,3000,41000,,
"CRJ7, CANADAIR, Regional Jet CRJ-700",CL-600 Regional Jet CRJ-700,CRJ7,Landplane,Medium,3000,41000,,
"CRJ7, CANADAIR, Regional Jet CRJ-701",CL-600 Regional Jet CRJ-701,CRJ7,Landplane,Medium,3000,41000,,
"CRJ7,CL-600 Regional Jet CRJ-700",CL-600 Regional Jet CRJ-700,CRJ7,Landplane,Medium,3000,41000,,
CRJ8,CL-600 Regional Jet CRJ-705,CRJ9,Landplane,Medium,3000,41000,,
crj9,CL-600 Regional Jet CRJ-900,CRJ9,Landplane,Medium,3000,41000,,
CRJ9 CANADAIR CL-600 Regional Jet CRJ-900,CL-600 Regional Jet CRJ-900,CRJ9,Landplane,Medium,3000,41000,,
"CRJ9, CANADAIR, Challenger 890",CL-600 Challenger 890,CRJ9,Landplane,Medium,3000,41000,,
"CRJ9, CANADAIR, CL-600 Regional Jet CRJ-705",CL-600 Regional Jet CRJ-705,CRJ9,Landplane,Medium,3000,41000,,
"CRJ9, CANADAIR, CL-600 Regional Jet CRJ-900",CL-600 Regional Jet CRJ-900,CRJ9,Landplane,Medium,3000,41000,,
"CRJ9, CANADAIR, Regional Jet CRJ-705",CL-600 Regional Jet CRJ-705,CRJ9,Landplane,Medium,3000,41000,,
"CRJ9, CANADAIR, Regional Jet CRJ-900",CL-600 Regional Jet CRJ-900,CRJ9,Landplane,Medium,3000,41000,,
"CRJ9,CL-600 Regional Jet CRJ-900",CL-600 Regional Jet CRJ-900,CRJ9,Landplane,Medium,3000,41000,,
CRUZ,SportCruiser,CRUZ,Landplane,Light,800,18000,,
"CRUZ, CZAW, SportCruiser",SportCruiser,CRUZ,Landplane,Light,800,18000,,
"CRUZ,SportCruiser",SportCruiser,CRUZ,Landplane,Light,800,18000,,
"CUB2, ACES HIGH, Cuby 2",Cuby 2,CUB2,Landplane,Light,500,,,
"CVLP, CONVAIR, C-131",C-131,CVLP,Landplane,Medium,1200,25500,,
"CVLP, CONVAIR, Convairliner",Convairliner,CVLP,Landplane,Medium,1200,25500,,
CVLT,CC-109 Cosmopolitan,CVLT,Landplane,Medium,1500,24000,,
"CVLT, CANADAIR, CC-109 Cosmopolitan",CC-109 Cosmopolitan,CVLT,Landplane,Medium,1500,24000,,
"CVLT, CANADAIR, CL-66",CL-66,CVLT,Landplane,Medium,1500,24000,,
"CVLT, CONVAIR, CV-580",CV-580,CVLT,Landplane,Medium,1500,24000,,
"CZAW, Czech Sport  Aircraft, SportCruiser",SportCruiser,CRUZ,Landplane,Light,800,18000,,
"D228, FAIRCHILD DORNIER, 228",228,D228,Landplane,Light,1500,28000,,
DA28,Do-28D Skyservant,D28D,Landplane,Light,800,25200,,
C146,C-146,D328,Landplane,Medium,2000,35000,,
D328,328,D328,Landplane,Medium,2000,35000,,
"D328, DORNIER, 328",328,D328,Landplane,Medium,2000,35000,,
"D6CR, DRUINE, D-61 Condor",D-61 Condor,D6CR,Landplane,Light,600,12000,,
DA20,Eclipse/Evolution,DV20,Landplane,Light,800,17600,,
DA20 DIAMOND Eclipse/Evolution,Eclipse/Evolution,DV20,Landplane,Light,800,17600,,
"DA20, DIAMOND, Eclipse/Evolution",Eclipse/Evolution,DV20,Landplane,Light,800,17600,,
da40,DA-40 Diamond Star,DA40,Landplane,Light,600,16400,,
DA40 DIAMOND DA-40 Diamond Star,DA-40 Diamond Star,DA40,Landplane,Light,600,16400,,
"DA40, DIAMOND, DA-40 Diamond Star",DA-40 Diamond Star,DA40,Landplane,Light,600,16400,,
"DA40, DIAMOND, Katana (DA-40)",DA-40 Katana,DA40,Landplane,Light,600,16400,,
"DA40,DA-40 Diamond Star",DA-40 Diamond Star,DA40,Landplane,Light,600,16400,,
DAQ40,DA-40 Club Star,DA40,Landplane,Light,600,16400,,
DV40,DA-40 Club Star,DA40,Landplane,Light,600,16400,,
DA42,DA-42 Twin Star,DA42,Landplane,Light,1400,18000,,
DA42 DIAMOND Twin Star,DA-42 Twin Star,DA42,Landplane,Light,1400,18000,,
"DA42, DIAMOND, DA-42 Twin Star",DA-42 Twin Star,DA42,Landplane,Light,1400,18000,,
"DA42, DIAMOND, Twin Star",DA-42 Twin Star,DA42,Landplane,Light,1400,18000,,
"DA42,Twin Star",DA-42 Twin Star,DA42,Landplane,Light,1400,18000,,
DA44,DA-42 Twin Star,DA42,Landplane,Light,1400,18000,,
DA50,SuperStar,DA50,Landplane,Light,1000,18000,,
"DA50, DIAMOND, DA-50 Super Star",SuperStar,DA50,Landplane,Light,1000,18000,,
DC10,MD-10,DC10,Landplane,Heavy,2400,42000,,
"DC10, BOEING, MD-10",MD-10,DC10,Landplane,Heavy,2400,42000,,
"DC10, MCDONNELL DOUGLAS, DC-10",DC-10,DC10,Landplane,Heavy,2400,42000,,
"DC10, MCDONNELL DOUGLAS, KC-10 Extender",KC-10 Extender,DC10,Landplane,Heavy,2400,42000,,
"DC10,MD-10",MD-10,DC10,Landplane,Heavy,2400,42000,,
KC10,KC-10 Extender,DC10,Landplane,Heavy,2400,42000,,
"KC10, McDonnell Douglas, KC-10 Extender",KC-10 Extender,DC10,Landplane,Heavy,2400,42000,,
"MD10, McDonnell Douglas, MD10",KC-10 Extender,DC10,Landplane,Heavy,2400,42000,,
DC3,AC-47 Skytrain,DC3,Landplane,Medium,1000,23200,,
"DC3, DOUGLAS, AC-47 Skytrain",AC-47 Skytrain,DC3,Landplane,Medium,1000,23200,,
"DC3T, PROFESSIONAL AVIATION, Super Dakota",Super Dakota,DC3T,Landplane,Medium,1800,25000,,
"DC6, DOUGLAS, C-118 Liftmaster",C-118 Liftmaster,DC6,Landplane,Medium,1000,25000,,
"DC86, DOUGLAS, DC-8-60",DC-8-60,DC86,Landplane,Heavy,2000,42000,,
"DC87, DOUGLAS, DC-8-70",DC-8-70,DC87,Landplane,Heavy,2500,42000,,
DC91,DC-9-10,DC91,Landplane,Medium,3000,35000,,
"DC91, DOUGLAS, DC-9-10",DC-9-10,DC91,Landplane,Medium,3000,35000,,
"DC91,DC-9-10",DC-9-10,DC91,Landplane,Medium,3000,35000,,
DC93,DC-9-30,DC93,Landplane,Medium,3000,35000,,
"DC93, DOUGLAS, DC-9-30",DC-9-30,DC93,Landplane,Medium,3000,35000,,
"DC94, MCDONNELL DOUGLAS, DC-9-40",DC-9-40,DC94,Landplane,Medium,3000,35000,,
"DC95, DOUGLAS, DC-9-50",DC-9-50,DC95,Landplane,Medium,3000,35000,,
"DH60, DE HAVILLAND, DH-60 Moth",DH-60 Moth,DH60,Landplane,Light,400,14500,,
DH80 DE HAVILLAND DH-80 Puss Moth,DH-80 Puss Moth,DH80,Landplane,Light,500,17500,,
"DH80, DE HAVILLAND, DH-80 Puss Moth",Puss Moth,DH80,Landplane,Light,500,17500,,
"DH82, DE HAVILLAND, Tiger Moth",Tiger Moth,DH82,Landplane,Light,500,13600,,
"DH82, OGMA, Tiger Moth",Tiger Moth,DH82,Landplane,Light,500,13600,,
dash8,Dash 8 (100),DH8A,Landplane,Medium,1200,25000,,
DH8A,CC-142 Dash 8,DH8A,Landplane,Medium,1200,25000,,
