X_id,year,month,week,wday,day,hour,minute,DOS,DOS_MONTH,DOS_QUARTER,DOS_WEEKNUMBER,DOS_WEEKDAY,DOS_MINUTE,DOS_HOUR,DOS_DAY,DOS_YEAR
5d2de3952834ae451204a7f8,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a803,2015,11,45,4,11,1,5,05:00.0,11,4,46,3,5,1,11,2015
5d2de3952834ae451204a805,2015,12,51,5,17,23,47,47:00.0,12,4,51,4,47,23,17,2015
5d2de3952834ae451204a819,2016,2,8,1,21,3,31,31:00.0,2,1,7,7,31,3,21,2016
5d2de3952834ae451204a81d,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a824,2015,11,46,1,15,23,45,45:00.0,11,4,46,7,45,23,15,2015
5d2de3952834ae451204a825,2015,11,46,1,15,23,17,17:00.0,11,4,46,7,17,23,15,2015
5d2de3952834ae451204a827,2016,1,2,1,10,23,20,20:00.0,1,1,1,7,20,23,10,2016
5d2de3952834ae451204a83b,2016,2,7,3,16,2,14,14:00.0,2,1,7,2,14,2,16,2016
5d2de3952834ae451204a849,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a84b,2015,12,49,3,8,3,28,28:00.0,12,4,50,2,28,3,8,2015
5d2de3952834ae451204a84c,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a856,2015,12,51,6,18,12,46,46:00.0,12,4,51,5,46,12,18,2015
5d2de3952834ae451204a85e,2016,4,15,7,9,6,54,54:00.0,4,2,14,6,54,6,9,2016
5d2de3952834ae451204a85f,2015,11,45,1,8,0,44,44:00.0,11,4,45,7,44,0,8,2015
5d2de3952834ae451204a86b,2016,1,1,3,5,3,20,20:00.0,1,1,1,2,20,3,5,2016
5d2de3952834ae451204a872,2016,4,16,7,16,3,43,43:00.0,4,2,15,6,43,3,16,2016
5d2de3952834ae451204a875,2016,3,12,4,23,5,9,09:00.0,3,1,12,3,9,5,23,2016
5d2de3952834ae451204a87e,2016,4,16,2,18,5,6,06:00.0,4,2,16,1,6,5,18,2016
5d2de3952834ae451204a87f,2016,4,16,3,19,2,35,35:00.0,4,2,16,2,35,2,19,2016
5d2de3952834ae451204a893,2016,5,18,1,1,3,36,36:00.0,5,2,17,7,36,3,1,2016
5d2de3952834ae451204a89c,2015,12,51,1,20,0,42,42:00.0,12,4,51,7,42,0,20,2015
5d2de3952834ae451204a89e,2016,3,11,1,13,3,5,05:00.0,3,1,10,7,5,3,13,2016
5d2de3952834ae451204a8a1,2016,5,20,5,19,2,32,32:00.0,5,2,20,4,32,2,19,2016
5d2de3952834ae451204a8a2,2016,2,6,6,5,4,52,52:00.0,2,1,5,5,52,4,5,2016
5d2de3952834ae451204a8ca,2016,3,11,7,12,0,14,14:00.0,3,1,10,6,14,0,12,2016
5d2de3952834ae451204a8cc,2015,11,44,3,3,1,39,39:00.0,11,4,45,2,39,1,3,2015
5d2de3952834ae451204a8cd,2015,11,45,6,6,3,6,06:00.0,11,4,45,5,6,3,6,2015
5d2de3952834ae451204a8f5,2016,4,17,4,27,2,15,15:00.0,4,2,17,3,15,2,27,2016
5d2de3952834ae451204a8f8,2016,5,19,2,9,1,22,22:00.0,5,2,19,1,22,1,9,2016
5d2de3952834ae451204a907,2016,1,4,7,23,1,59,59:00.0,1,1,3,6,59,1,23,2016
5d2de3952834ae451204a90e,2016,6,26,2,27,4,35,35:00.0,6,2,26,1,35,4,27,2016
5d2de3952834ae451204a917,2016,3,12,7,19,2,57,57:00.0,3,1,11,6,57,2,19,2016
5d2de3952834ae451204a919,2016,5,22,7,28,3,14,14:00.0,5,2,21,6,14,3,28,2016
5d2de3952834ae451204a931,2015,11,47,4,25,1,25,25:00.0,11,4,48,3,25,1,25,2015
5d2de3952834ae451204a932,2015,11,47,4,25,3,53,53:00.0,11,4,48,3,53,3,25,2015
5d2de3952834ae451204a933,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a93f,2016,3,9,4,2,3,4,04:00.0,3,1,9,3,4,3,2,2016
5d2de3952834ae451204a943,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a948,2015,12,49,3,8,0,5,05:00.0,12,4,50,2,5,0,8,2015
5d2de3952834ae451204a958,2015,12,50,1,13,0,59,59:00.0,12,4,50,7,59,0,13,2015
5d2de3952834ae451204a95e,2015,12,49,3,8,1,10,10:00.0,12,4,50,2,10,1,8,2015
5d2de3952834ae451204a96c,2015,11,45,2,9,3,19,19:00.0,11,4,46,1,19,3,9,2015
5d2de3952834ae451204a96d,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a973,2016,1,3,7,16,4,29,29:00.0,1,1,2,6,29,4,16,2016
5d2de3952834ae451204a983,2016,3,10,7,5,2,2,02:00.0,3,1,9,6,2,2,5,2016
5d2de3952834ae451204a98b,2016,1,5,1,31,2,47,47:00.0,1,1,4,7,47,2,31,2016
5d2de3952834ae451204a99a,2015,11,46,3,17,2,10,10:00.0,11,4,47,2,10,2,17,2015
5d2de3952834ae451204a99b,2015,12,51,3,22,3,12,12:00.0,12,4,52,2,12,3,22,2015
5d2de3952834ae451204a9a0,2015,11,46,3,17,23,53,53:00.0,11,4,47,2,53,23,17,2015
5d2de3952834ae451204a9a2,2015,11,46,1,15,2,16,16:00.0,11,4,46,7,16,2,15,2015
